YEAR,JURISDICTION,AGE_GROUP,LOCATION,DETECTION_METHOD,FINES,ARRESTS,CHARGES,POPULATION,FINES_PER_100K,ARRESTS_PER_100K,CHARGES_PER_100K
2024,ACT,40-64,Urban,Camera,10535,0,0,138259,7619.757123,0,0
2024,ACT,40-64,Urban,Police issued,52,1,4,138259,37.61057146,0.72328022,2.893120882
2024,ACT,65 and over,Urban,Camera,1236,0,0,65896,1875.682894,0,0
2024,ACT,65 and over,Urban,Police issued,3,0,0,65896,4.552628384,0,0
2024,NSW,0-16,Regional,Police issued,4,0,2,1695550,0.235911651,0,0.117955826
2024,NSW,0-16,Urban,Police issued,18,0,5,1695550,1.06160243,0,0.294889564
2024,NSW,17-25,Others,Police issued,115,0,2,996438,11.54110943,0,0.200714947
2024,NSW,17-25,Regional,Police issued,673,0,10,996438,67.54057954,0,1.003574733
2024,NSW,17-25,Urban,Police issued,4539,0,79,996438,455.5225714,0,7.928240392
2024,NSW,26-39,Others,Police issued,111,0,3,1735688,6.395158577,0,0.172842124
2024,NSW,26-39,Regional,Police issued,791,0,11,1735688,45.57270662,0,0.633754454
2024,NSW,26-39,Urban,Police issued,4401,0,53,1735688,253.5593955,0,3.053544185
2024,NSW,40-64,Others,Police issued,71,0,0,2551551,2.782621237,0,0
2024,NSW,40-64,Regional,Police issued,557,0,8,2551551,21.82985956,0,0.313534787
2024,NSW,40-64,Urban,Police issued,3024,0,30,2551551,118.5161496,0,1.175755452
2024,NSW,65 and over,Others,Police issued,6,0,0,1500087,0.399976801,0,0
2024,NSW,65 and over,Regional,Police issued,83,0,0,1500087,5.533012419,0,0
2024,NSW,65 and over,Urban,Police issued,332,0,5,1500087,22.13204967,0,0.333314001
2024,NT,0-16,Others,Police issued,1,0,0,58003,1.724048756,0,0
2024,NT,17-25,Others,Police issued,45,0,2,31202,144.2215243,0,6.409845523
2024,NT,26-39,Others,Police issued,112,0,2,65777,170.2722836,0,3.040576493
2024,NT,40-64,Others,Police issued,78,1,7,75574,103.2100987,1.323206394,9.262444756
2024,NT,65 and over,Others,Police issued,8,0,0,24513,32.6357443,0,0
2024,QLD,0-16,Others,Camera,2101,0,0,1153292,182.1741588,0,0
2024,QLD,0-16,Others,Police issued,3,0,0,1153292,0.260124929,0,0
